Book,Chapters,Verses,Words
Genesis,50,1550,35000
Exodus,40,1210,32700
Leviticus,27,860,24500
Numbers,36,1290,32900
Deuteronomy,34,960,28000
Joshua,24,660,18600
Judges,21,620,18500
Ruth,4,85,2570
1 Samuel,31,810,25500
2 Samuel,24,695,24000
1 Kings,22,815,25000
2 Kings,25,720,23500
1 Chronicles,29,940,20350
2 Chronicles,36,820,26100
Ezra,10,280,7450
Nehemiah,13,405,12000
Esther,10,170,5600
Job,42,1070,18100
Psalms,150,2460,43000
Proverbs,31,915,15050
Ecclesiastes,12,220,5580
Songs of Solomon,8,120,2650
Isaiah,66,1290,37400
Jeremiah,52,1365,42650
Lamentations,5,155,3010
Ezekiel,48,1275,39400
Daniel,12,360,11600
Hosea,14,200,5170
Joel,3,75,2030
Amos,9,145,4250
Obadiah,1,21,670
Jonah,4,50,1320
Micah,7,105,3150
Nahum,3,50,1300
Habakkuk,3,55,1480
Zephaniah,3,50,1620
Haggai,2,40,1130
Zechariah,14,210,6450
Malachi,4,55,1780
Matthew,28,1070,23350
Mark,16,680,14950
Luke,24,1150,25000
John,21,880,15650
Acts,28,1010,24500
Romans,16,430,9500
1 Corinthians,16,440,10000
2 Corinthians,13,260,6000
Galatians,6,250,3100
Ephesians,6,155,3020
Philippians,4,105,2180
Colossians,4,95,1980
1 Thessalonians,5,90,1840
2 Thessalonians,3,50,1020
1 Timothy,6,110,2250
2 Timothy,4,82,1600
Titus,3,45,900
Philemon,1,25,430
Hebrews,13,300,7000
James,5,110,2300
1 Peter,5,105,2480
2 Peter,3,60,1550
1 John,5,105,2300
2 John,1,13,300
3 John,1,14,290
Jude,1,25,610
Revelation,22,400,11950
