Section,Books,Chapters,Verses,Words,Ch/Book,Vs/Book,Wd/Book,Vs/Ch,Wd/Ch,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Bible,66,1189,31200,780000,18.0,472.7,11818,26.2,656.0,25.0,86hr 40m,65hr 0m,52hr 0m
Old Testament,39,929,23150,600000,23.8,593.6,15385,24.9,645.9,25.9,66hr 40m,50hr 0m,40hr 0m
New Testament,27,260,8000,181000,9.6,296.3,6704,30.8,696.2,22.6,20hr 6m,15hr 5m,12hr 4m
Pentateuch,5,187,5850,153000,37.4,1170.0,30600,31.3,818.2,26.2,17hr 0m,12hr 45m,10hr 12m
History,12,249,7000,210000,20.8,583.3,17500,28.1,843.4,30.0,23hr 20m,17hr 30m,14hr 0m
Poetry,5,243,4785,84400,48.6,957.0,16880,19.7,347.3,17.6,9hr 22m,7hr 2m,5hr 37m
Major Prophets,5,183,4440,134100,36.6,888.0,26820,24.3,732.8,30.2,14hr 54m,11hr 10m,8hr 56m
Minor Prophets,12,67,1050,31400,5.6,87.5,2617,15.7,468.7,29.9,3hr 29m,2hr 37m,2hr 5m
Gospels,4,89,3770,80000,22.2,942.5,20000,42.4,898.9,21.2,8hr 53m,6hr 40m,5hr 20m
History (Acts),1,28,1010,24500,28.0,1010.0,24500,36.1,875.0,24.3,2hr 43m,2hr 2m,1hr 38m
Pauline Epistles,13,87,2140,43700,6.7,164.6,3362,24.6,502.3,20.4,4hr 51m,3hr 38m,2hr 54m
General Epistles,8,34,730,16900,4.2,91.2,2112,21.5,497.1,23.2,1hr 52m,1hr 24m,1hr 7m
Apocalypse (Revelation),1,22,400,11950,22.0,400.0,11950,18.2,543.2,29.9,1hr 19m,59m 45s,47m 48s
